An error occurred: illegal san: 'Nc6' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/8/4P3/PPQP1PP1/RNB1KBNR w KQkq - 0 7, unable to load chessboard with Nc6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Rxc6' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/8/4P3/PPQP1PP1/RNB1KBNR w KQkq - 0 7, unable to load chessboard with Rxc6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'bxc6' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/8/4P3/PPQP1PP1/RNB1KBNR w KQkq - 0 7, unable to load chessboard with bxc6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Ne4' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/8/4P3/PPQP1PP1/RNB1KBNR w KQkq - 0 7, unable to load chessboard with Ne4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'c3' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/1P6/4P3/P1QP1PP1/RNB1KBNR b KQkq - 0 7, unable to load chessboard with c3========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nc2' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/1P6/4P3/P1QP1PP1/RNB1KBNR b KQkq - 0 7, unable to load chessboard with Nc2========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nd5' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/1P6/4P3/P1QP1PP1/RNB1KBNR b KQkq - 0 7, unable to load chessboard with Nd5========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Bc4' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/1P6/4P3/P1QP1PP1/RNB1KBNR b KQkq - 0 7, unable to load chessboard with Bc4========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Nef6' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/1P6/4P3/P1QP1PP1/RNB1KBNR b KQkq - 0 7, unable to load chessboard with Nef6========== End of Environ.load_chessboard ==========


An error occurred: illegal san: 'Qa5' in rnbqk1nr/p1p3bp/6p1/1P1ppp1P/1P6/4P3/P1QP1PP1/RNB1KBNR b KQkq - 0 7, unable to load chessboard with Qa5========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Ne2', unable to load chessboard with .Ne2========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.g5', unable to load chessboard with .g5========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.h4', unable to load chessboard with .h4========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.Qf6', unable to load chessboard with .Qf6========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.hxg5', unable to load chessboard with .hxg5========== End of Environ.load_chessboard ==========


An error occurred: invalid san: '.hxg5', unable to load chessboard with .hxg5========== End of Environ.load_chessboard ==========


